SimID:1
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
225374
409756
734293
15965
746986
421282
413445
768015
778509
297770
743081
218047
632650
358197
199123
232325
511661
432660
692862
145652


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,225374,0.5
1,409756,0.5
1,734293,0.5
1,15965,0.5
1,746986,0.5
1,421282,0.5
1,413445,0.5
1,768015,0.5
1,778509,0.5
1,297770,0.5
1,743081,0.5
1,218047,0.5
1,632650,0.5
1,358197,0.5
1,199123,0.5
1,232325,0.5
1,511661,0.5
1,432660,0.5
1,692862,0.5
1,145652,0.5
5000,225374,0.505
5000,409756,0.5004
5000,734293,0.4994
5000,15965,0.5237
5000,746986,0.4972
5000,421282,0.4959
5000,413445,0.5004
5000,768015,0.5019
5000,778509,0.4994
5000,297770,0.4944
5000,743081,0.5028
5000,218047,0.4967
5000,632650,0.5096
5000,358197,0.4945
5000,199123,0.5041
5000,232325,0.4948
5000,511661,0.4999
5000,432660,0.4977
5000,692862,0.4999
5000,145652,0.4917
