SimID:0
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
945127
857466
178832
477386
591629
443420
909377
266500
208840
324677
556228
617004
319813
408101
658376
992779
581867
21491
298404
391071


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,945127,0.5
1,857466,0.5
1,178832,0.5
1,477386,0.5
1,591629,0.5
1,443420,0.5
1,909377,0.5
1,266500,0.5
1,208840,0.5
1,324677,0.5
1,556228,0.5
1,617004,0.5
1,319813,0.5
1,408101,0.5
1,658376,0.5
1,992779,0.5
1,581867,0.5
1,21491,0.5
1,298404,0.5
1,391071,0.5
5000,945127,0.4798
5000,857466,0.5316
5000,178832,0.4872
5000,477386,0.5112
5000,591629,0.502
5000,443420,0.4955
5000,909377,0.5295
5000,266500,0.5077
5000,208840,0.5072
5000,324677,0.5002
5000,556228,0.5009
5000,617004,0.5012
5000,319813,0.4998
5000,408101,0.499
5000,658376,0.4993
5000,992779,0.4877
5000,581867,0.4998
5000,21491,0.515
5000,298404,0.506
5000,391071,0.4991
