SimID:9
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
746947
194619
788508
986180
825580
123389
789108
219134
105362
707532
714625
917570
426352
703027
766473
823036
746816
922491
849777
705350


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,746947,0.5
1,194619,0.5
1,788508,0.5
1,986180,0.5
1,825580,0.5
1,123389,0.5
1,789108,0.5
1,219134,0.5
1,105362,0.5
1,707532,0.5
1,714625,0.5
1,917570,0.5
1,426352,0.5
1,703027,0.5
1,766473,0.5
1,823036,0.5
1,746816,0.5
1,922491,0.5
1,849777,0.5
1,705350,0.5
5000,746947,0.4964
5000,194619,0.5194
5000,788508,0.5065
5000,986180,0.4827
5000,825580,0.4944
5000,123389,0.5069
5000,789108,0.4935
5000,219134,0.4807
5000,105362,0.4948
5000,707532,0.5073
5000,714625,0.4933
5000,917570,0.5082
5000,426352,0.4843
5000,703027,0.5072
5000,766473,0.4972
5000,823036,0.5056
5000,746816,0.4964
5000,922491,0.4919
5000,849777,0.4905
5000,705350,0.5074
