SimID:2
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
733409
516426
161646
207037
893107
758997
512666
855604
616652
655068
320829
610283
99418
164419
91925
836984
408329
996584
419409
576404


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,733409,0.5
1,516426,0.5
1,161646,0.5
1,207037,0.5
1,893107,0.5
1,758997,0.5
1,512666,0.5
1,855604,0.5
1,616652,0.5
1,655068,0.5
1,320829,0.5
1,610283,0.5
1,99418,0.5
1,164419,0.5
1,91925,0.5
1,836984,0.5
1,408329,0.5
1,996584,0.5
1,419409,0.5
1,576404,0.5
5000,733409,0.4935
5000,516426,0.5035
5000,161646,0.4687
5000,207037,0.523
5000,893107,0.4967
5000,758997,0.4953
5000,512666,0.4963
5000,855604,0.4841
5000,616652,0.5089
5000,655068,0.4916
5000,320829,0.5069
5000,610283,0.4912
5000,99418,0.5223
5000,164419,0.5314
5000,91925,0.4701
5000,836984,0.5161
5000,408329,0.4789
5000,996584,0.5385
5000,419409,0.5296
5000,576404,0.5073
