SimID:5
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
516810
340542
12941
390763
434749
644315
461085
82102
399587
249719
45606
787549
830421
37663
649822
566026
416365
898684
243315
480578


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,516810,0.5
1,340542,0.5
1,12941,0.5
1,390763,0.5
1,434749,0.5
1,644315,0.5
1,461085,0.5
1,82102,0.5
1,399587,0.5
1,249719,0.5
1,45606,0.5
1,787549,0.5
1,830421,0.5
1,37663,0.5
1,649822,0.5
1,566026,0.5
1,416365,0.5
1,898684,0.5
1,243315,0.5
1,480578,0.5
5000,516810,0.496
5000,340542,0.4843
5000,12941,0.4919
5000,390763,0.4884
5000,434749,0.4911
5000,644315,0.5032
5000,461085,0.5112
5000,82102,0.5156
5000,399587,0.5122
5000,249719,0.5201
5000,45606,0.4841
5000,787549,0.5077
5000,830421,0.5044
5000,37663,0.4891
5000,649822,0.5005
5000,566026,0.4927
5000,416365,0.5111
5000,898684,0.5056
5000,243315,0.5189
5000,480578,0.4878
