SimID:6
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
598319
475874
732952
4464
259198
370550
86966
777508
326807
891472
912062
310443
358413
337490
127788
952732
812004
155902
107435
653988


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,598319,0.5
1,475874,0.5
1,732952,0.5
1,4464,0.5
1,259198,0.5
1,370550,0.5
1,86966,0.5
1,777508,0.5
1,326807,0.5
1,891472,0.5
1,912062,0.5
1,310443,0.5
1,358413,0.5
1,337490,0.5
1,127788,0.5
1,952732,0.5
1,812004,0.5
1,155902,0.5
1,107435,0.5
1,653988,0.5
5000,598319,0.4999
5000,475874,0.5085
5000,732952,0.506
5000,4464,0.5333
5000,259198,0.5115
5000,370550,0.5066
5000,86966,0.483
5000,777508,0.4974
5000,326807,0.4975
5000,891472,0.4887
5000,912062,0.5114
5000,310443,0.4966
5000,358413,0.5066
5000,337490,0.4945
5000,127788,0.4998
5000,952732,0.5033
5000,812004,0.5041
5000,155902,0.5008
5000,107435,0.4903
5000,653988,0.495
