SimID:7
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
462575
269093
337346
27385
906361
543435
881763
723760
417790
394980
100432
598489
805082
14831
209533
750159
60124
698416
14751
642122


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,462575,0.5
1,269093,0.5
1,337346,0.5
1,27385,0.5
1,906361,0.5
1,543435,0.5
1,881763,0.5
1,723760,0.5
1,417790,0.5
1,394980,0.5
1,100432,0.5
1,598489,0.5
1,805082,0.5
1,14831,0.5
1,209533,0.5
1,750159,0.5
1,60124,0.5
1,698416,0.5
1,14751,0.5
1,642122,0.5
5000,462575,0.4754
5000,269093,0.5342
5000,337346,0.5323
5000,27385,0.4844
5000,906361,0.4901
5000,543435,0.5018
5000,881763,0.5191
5000,723760,0.5711
5000,417790,0.5361
5000,394980,0.5339
5000,100432,0.4891
5000,598489,0.5006
5000,805082,0.4694
5000,14831,0.5179
5000,209533,0.4317
5000,750159,0.5176
5000,60124,0.5157
5000,698416,0.495
5000,14751,0.5157
5000,642122,0.4253
