SimID:4
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
471462
918635
193239
953355
573536
606700
360624
743155
846477
893875
897068
446711
370384
204546
998991
515272
905567
622504
999686
975470


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,471462,0.5
1,918635,0.5
1,193239,0.5
1,953355,0.5
1,573536,0.5
1,606700,0.5
1,360624,0.5
1,743155,0.5
1,846477,0.5
1,893875,0.5
1,897068,0.5
1,446711,0.5
1,370384,0.5
1,204546,0.5
1,998991,0.5
1,515272,0.5
1,905567,0.5
1,622504,0.5
1,999686,0.5
1,975470,0.5
5000,471462,0.4926
5000,918635,0.4943
5000,193239,0.5182
5000,953355,0.5003
5000,573536,0.4974
5000,606700,0.4953
5000,360624,0.5093
5000,743155,0.4971
5000,846477,0.4996
5000,893875,0.5047
5000,897068,0.5043
5000,446711,0.4926
5000,370384,0.5096
5000,204546,0.5182
5000,998991,0.5051
5000,515272,0.5056
5000,905567,0.4943
5000,622504,0.5073
5000,999686,0.4947
5000,975470,0.4956
