SimID:99
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
743673
465351
635757
659956
342280
297186
584975
287096
683979
553746
509061
620056
14047
167477
480897
481973
675423
8687
476640
632956


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,743673,0.5
1,465351,0.5
1,635757,0.5
1,659956,0.5
1,342280,0.5
1,297186,0.5
1,584975,0.5
1,287096,0.5
1,683979,0.5
1,553746,0.5
1,509061,0.5
1,620056,0.5
1,14047,0.5
1,167477,0.5
1,480897,0.5
1,481973,0.5
1,675423,0.5
1,8687,0.5
1,476640,0.5
1,632956,0.5
10000,743673,0.5255
10000,465351,0.4994
10000,635757,0.4987
10000,659956,0.4965
10000,342280,0.4973
10000,297186,0.5042
10000,584975,0.504
10000,287096,0.495
10000,683979,0.5012
10000,553746,0.501
10000,509061,0.4988
10000,620056,0.4978
10000,14047,0.4963
10000,167477,0.4993
10000,480897,0.4993
10000,481973,0.4993
10000,675423,0.5025
10000,8687,0.5026
10000,476640,0.5003
10000,632956,0.5013
